# wvl	fwhm
4.103000000000000114e+02	9.599999999999999645e+00
4.208999999999999773e+02	1.000000000000000000e+01
4.308999999999999773e+02	1.000000000000000000e+01
4.413999999999999773e+02	9.800000000000000711e+00
4.518000000000000114e+02	1.000000000000000000e+01
4.620000000000000000e+02	1.000000000000000000e+01
4.723000000000000114e+02	9.800000000000000711e+00
4.823999999999999773e+02	1.019999999999999929e+01
4.926999999999999886e+02	9.800000000000000711e+00
5.031999999999999886e+02	1.000000000000000000e+01
5.132000000000000455e+02	1.000000000000000000e+01
5.235000000000000000e+02	9.800000000000000711e+00
5.337000000000000455e+02	1.019999999999999929e+01
5.440000000000000000e+02	9.800000000000000711e+00
5.542000000000000455e+02	1.000000000000000000e+01
5.646000000000000227e+02	1.019999999999999929e+01
5.747999999999999545e+02	1.000000000000000000e+01
5.850000000000000000e+02	1.000000000000000000e+01
5.951000000000000227e+02	1.000000000000000000e+01
6.053999999999999773e+02	1.000000000000000000e+01
6.157000000000000455e+02	1.000000000000000000e+01
6.257000000000000455e+02	9.800000000000000711e+00
6.360000000000000000e+02	1.000000000000000000e+01
6.462000000000000455e+02	1.000000000000000000e+01
6.562999999999999545e+02	1.000000000000000000e+01
6.667000000000000455e+02	1.000000000000000000e+01
6.768999999999999773e+02	1.000000000000000000e+01
6.872999999999999545e+02	9.599999999999999645e+00
6.976000000000000227e+02	1.040000000000000036e+01
7.080000000000000000e+02	1.019999999999999929e+01
7.173999999999999773e+02	9.800000000000000711e+00
7.280000000000000000e+02	1.019999999999999929e+01
7.382000000000000455e+02	1.000000000000000000e+01
7.483999999999999773e+02	1.000000000000000000e+01
7.591000000000000227e+02	1.000000000000000000e+01
7.692000000000000455e+02	1.000000000000000000e+01
7.791000000000000227e+02	1.000000000000000000e+01
7.893999999999999773e+02	9.599999999999999645e+00
7.997999999999999545e+02	1.059999999999999964e+01
8.105000000000000000e+02	9.800000000000000711e+00
8.205000000000000000e+02	9.199999999999999289e+00
8.303999999999999773e+02	9.400000000000000355e+00
8.407000000000000455e+02	9.199999999999999289e+00
8.515000000000000000e+02	9.400000000000000355e+00
8.617999999999999545e+02	9.800000000000000711e+00
8.720000000000000000e+02	1.019999999999999929e+01
8.816000000000000227e+02	6.599999999999999645e+00
8.916000000000000227e+02	1.000000000000000000e+01
9.020000000000000000e+02	9.800000000000000711e+00
9.120000000000000000e+02	9.800000000000000711e+00
9.225000000000000000e+02	1.140000000000000036e+01
9.335000000000000000e+02	9.599999999999999645e+00
9.435000000000000000e+02	1.040000000000000036e+01
9.533999999999999773e+02	9.199999999999999289e+00
9.640000000000000000e+02	1.119999999999999929e+01
9.748999999999999773e+02	1.080000000000000071e+01
9.857000000000000455e+02	1.040000000000000036e+01
9.946000000000000227e+02	7.799999999999999822e+00
9.995000000000000000e+02	3.000000000000000000e+00
